RecordedDate,Q2.12,Q2.15,Q2.14,Q2.4,Q2.6,Q2.2,Q2.1,Q35.1,Q35.2,Q35.4,Q37.4,Q37.3,Q38.3,Q38.6,Q38.10,Q2.13
Recorded Date,What is your current employment status?,What best describes your political affiliation?,"What is the highest degree or level of school you have completed? If currently enrolled, highest degree received.",Which of the following options best describes your race? (Please choose one response that best applies.) - Selected Choice,In which country do you currently reside?,Please select the gender category that you most closely identify with.  	Cisgender (cis)  folks are those whose gender identity or expression matches the sex they were assigned at birth 	Transgender (trans) folks are those whose gender identity or expression does not match the sex they were assigned at birth - Selected Choice,What year were you born?,Has COVID-19 negatively impacted your living situation?,"To your knowledge, are you, or have you been infected with COVID-19?",Do you know people in your immediate social environment who are or have been infected with COVID-19 (suspected or confirmed)?,"""Grey was out walking her dog on March 17 when she was body-slammed by a stranger. The aggressor also kicked Grey’s dog, which howled in pain. In the moments before the attack, Grey was bent over, picking up her dog’s waste, and her hood fell over her head. She couldn’t see the stranger approaching and was already in a vulnerable position.     Grey was the only one on the block wearing a mask at the time, and her eyes were visible above it—“That’s probably what immediately identified me as Asian to them,” she says. Later, she shared the incident on Instagram, using her platform to spark conversation and bring awareness to the issue. “In my last post about the racism I’ve experienced during this virus hysteria, I expressed gratitude that at least I wasn’t assaulted. I guess I can’t claim that anymore,” wrote Grey, who urged her nearly 400,000 followers to “take the time to be extra empathetic and kind to strangers to hopefully make up for their treatment from the rest of the world.”     “As horrifying, triggering and deplorable as what happened to me was, it was the one and only time I actually felt like there could be bodily harm inflicted on me,” she says. “Some people live in fear of that all the time.”    What happened to Eugenie Grey when she was out walking her dog?","“I didn’t think that if he shoved me into the tracks I’d have the physical energy to crawl back up,” says Tsui, a registered nurse pursuing a doctorate of nursing practice in psychiatric mental health at Columbia University. Tsui was transferring trains on his way home after picking up N95 masks when he was approached by a man on the platform.     The man asked, “You’re Chinese, right?” Tsui responded that he was Chinese American, and the man told Tsui he should go back to his country, citing the 2003 SARS outbreak as another example of “all these sicknesses” spread by “chinks.” The man kept coming closer and closer to Tsui, who was forced to step toward the edge of the platform.     “Leave him alone. Can’t you see he’s a nurse? That he’s wearing scrubs?” said a bystander, who Tsui says appeared to be Latino. After the bystander threatened to re­cord the incident and call the police, the aggressor said that he should “go back to [his] country too.”     When the train finally arrived, the aggressor sat right across from Tsui and glared at him the entire ride, mouthing, “I’m watching you.” Throughout the ride, Tsui debated whether he should get off the train to escape but feared the man would follow him without anyone else to bear witness to what might happen.    Tsui says the current anti­racism movements are important, but the U.S. has a long way to go to achieve true equality. “One thing’s for sure, it’s definitely not an overnight thing—I am skeptical that people can be suddenly woke after reading a few books off the recommended book lists,” he says.“Let’s be honest, before George Floyd, Breonna Taylor and Ahmaud Arbery, there were many more. Black people have been calling out in pain and calling for help for a very long time.”    What was Justin Tsui's profession?",Do you think COVID-19 has increased discrimination against Asian Americans?,Do you sympathize with the situation that Asian Americans are facing during the pandemic?,"To what extent do you agree with the statement: ""Asian Americans are being targeted due to COVID-19.""?","To the best of your memory, how much did you earn in the last year that you worked?"
"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""QID215""}","{""ImportId"":""QID220""}","{""ImportId"":""QID341""}","{""ImportId"":""QID16""}","{""ImportId"":""QID242""}","{""ImportId"":""QID367""}","{""ImportId"":""QID214_TEXT""}","{""ImportId"":""QID221""}","{""ImportId"":""QID222""}","{""ImportId"":""QID224""}","{""ImportId"":""QID239""}","{""ImportId"":""QID238""}","{""ImportId"":""QID229""}","{""ImportId"":""QID232""}","{""ImportId"":""QID236""}","{""ImportId"":""QID216""}"
2021-03-29 11:05:11,,,,Native American,,,,,,,,,,,,
2021-03-30 12:30:13,,,,,,,,Strongly agree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Neither agree nor disagree,Probably yes,Neither agree nor disagree,
2021-03-30 13:21:28,Employed full time,Other,"Advanced degree (Master's, Doctorate)",Asian,United States of America,Cisgender Man,1986,Strongly agree,No,Yes,,,Neither agree nor disagree,Probably yes,Somewhat agree,"$60,000 - $69,999"
2021-03-30 15:01:45,Student,Other,Some college,Non-Hispanic White,United States of America,Cisgender Man,1985,Neither agree nor disagree,No,Yes,Someone body-slammed her and kicked her dog,Teacher,Strongly agree,Definitely yes,Somewhat agree,
2021-03-30 16:31:53,Employed full time,Democrat,Bachelor's degree,Non-Hispanic White,United States of America,Cisgender Man,1991,Somewhat agree,No,Yes,,,Strongly agree,Definitely yes,Strongly agree,"$70,000 - $79,999"
2021-03-30 19:22:10,Employed full time,Other,"Advanced degree (Master's, Doctorate)",Asian,United States of America,Cisgender Man,India,Strongly disagree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Somewhat agree,Definitely yes,Somewhat agree,"More than $150,000"
2021-03-30 20:13:56,Student,Democrat,Bachelor's degree,Non-Hispanic White,United States of America,Cisgender Man,1997,Somewhat disagree,No,No,,,Strongly disagree,Definitely yes,Strongly agree,"Less than $10,000"
2021-03-31 00:42:34,Student,Democrat,"Advanced degree (Master's, Doctorate)",Asian,United States of America,Cisgender Man,Taiwan,Somewhat agree,No,Yes,,,Neither agree nor disagree,Probably yes,Somewhat agree,
2021-03-31 21:34:16,Employed full time,Republican,Bachelor's degree,Non-Hispanic White,United States of America,Cisgender Man,1995,Strongly agree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"$50,000 - $59,999"
2021-03-31 21:38:10,Student,Other,"Advanced degree (Master's, Doctorate)",Non-Hispanic White,United States of America,Cisgender Woman,1993,Neither agree nor disagree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"$20,000 - $29,999"
2021-03-31 21:41:22,Employed part time,Independent,Some college,Non-Hispanic White,United States of America,Cisgender Man,1978,Neither agree nor disagree,No,No,Someone body-slammed her and kicked her dog,Nurse,Somewhat agree,Probably yes,Somewhat agree,"$20,000 - $29,999"
2021-03-31 21:41:29,Student,Independent,Some college,Non-Hispanic White,United States of America,Cisgender Woman,2000,Neither agree nor disagree,No,No,,,Strongly agree,Definitely yes,Strongly agree,"$10,000 - $19,999"
2021-03-31 21:41:44,Employed part time,Democrat,"Advanced degree (Master's, Doctorate)",Non-Hispanic White,United States of America,Cisgender Man,1984,Somewhat agree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-03-31 21:47:25,Employed full time,Independent,Bachelor's degree,Non-Hispanic White,United States of America,Cisgender Man,1990,Strongly agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Probably yes,Strongly agree,"$30,000 - $39,999"
2021-03-31 21:58:09,Employed part time,Democrat,Some college,Hispanic or Latino,United States of America,Cisgender Woman,1997,Somewhat agree,No,Yes,,,Strongly agree,Definitely yes,Strongly agree,"$10,000 - $19,999"
2021-03-31 21:59:24,Employed full time,Other,Bachelor's degree,Other:,United States of America,Cisgender Woman,1992,Somewhat disagree,Yes,Yes,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Probably yes,Somewhat agree,"$40,000 - $49,999"
2021-03-31 22:07:59,Unemployed looking for work,Independent,Some college,Non-Hispanic White,United States of America,Cisgender Man,1974,Somewhat disagree,No,Yes,,,Somewhat agree,Definitely yes,Somewhat agree,
2021-03-31 22:09:41,Employed part time,Independent,Bachelor's degree,Hispanic or Latino,United States of America,Cisgender Woman,1993,Somewhat agree,Yes,Yes,,,Strongly agree,Definitely yes,Strongly agree,"$20,000 - $29,999"
2021-03-31 22:21:47,Employed full time,Democrat,"Advanced degree (Master's, Doctorate)",Asian,United States of America,Cisgender Man,1990,Strongly disagree,No,No,,,Somewhat agree,Definitely yes,Somewhat disagree,"$70,000 - $79,999"
2021-03-31 22:24:21,Unemployed looking for work,Independent,Bachelor's degree,Asian,United States of America,Cisgender Woman,1982,Strongly agree,No,Yes,,,Strongly agree,Definitely yes,Strongly agree,"$60,000 - $69,999"
2021-03-31 22:27:52,Employed part time,Other,Some college,Non-Hispanic White,United States of America,Cisgender Woman,1984,Somewhat agree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Somewhat agree,"$10,000 - $19,999"
2021-03-31 22:33:03,Employed full time,Democrat,"Advanced degree (Master's, Doctorate)",Non-Hispanic White,United States of America,Cisgender Man,1996,Somewhat agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Somewhat agree,Probably yes,Somewhat agree,"$90,000 - $99,999"
2021-03-31 22:35:56,Employed full time,Republican,Bachelor's degree,Non-Hispanic White,United Kingdom of Great Britain and Northern Ireland,Cisgender Man,1989,Somewhat agree,Yes,Yes,Someone body-slammed her and kicked her dog,Nurse,Somewhat agree,Definitely yes,Somewhat agree,"$60,000 - $69,999"
2021-03-31 22:49:00,Student,Democrat,Some college,Asian,United States of America,Cisgender Man,2000,Somewhat agree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-03-31 22:59:14,Employed part time,Republican,Bachelor's degree,Native American,United States of America,Cisgender Man,1993,Strongly agree,No,Yes,,,Somewhat agree,Might or might not,Somewhat agree,"$10,000 - $19,999"
2021-03-31 23:04:33,Student,Democrat,Bachelor's degree,Non-Hispanic White,United States of America,Cisgender Man,1998,Strongly agree,No,No,,,Strongly agree,Probably not,Somewhat agree,"$30,000 - $39,999"
2021-03-31 23:12:18,Student,Independent,Some college,Black or African American,United States of America,Cisgender Woman,1996,Strongly agree,Yes,Yes,,,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-03-31 23:17:21,Employed part time,Democrat,Some college,Non-Hispanic White,United States of America,Cisgender Woman,1975,Somewhat agree,No,No,,,Strongly agree,Definitely yes,Strongly agree,"$20,000 - $29,999"
2021-03-31 23:17:24,Employed full time,Democrat,"Advanced degree (Master's, Doctorate)",Non-Hispanic White,United States of America,Cisgender Woman,1996,Neither agree nor disagree,No,No,Someone body-slammed her and kicked her dog,Nurse,Somewhat agree,Might or might not,Somewhat agree,
2021-03-31 23:24:37,Employed full time,Democrat,"Advanced degree (Master's, Doctorate)",Non-Hispanic White,United States of America,Cisgender Woman,1978,Somewhat agree,No,Yes,,,Somewhat agree,Probably yes,Somewhat agree,"Less than $10,000"
2021-03-31 23:50:42,Employed full time,Democrat,Bachelor's degree,Non-Hispanic White,United States of America,Cisgender Woman,54,Strongly agree,Yes,Yes,,,Somewhat agree,Probably yes,Somewhat agree,"$50,000 - $59,999"
2021-03-31 23:54:04,Employed full time,Democrat,Bachelor's degree,Non-Hispanic White,United States of America,Cisgender Man,1990,Somewhat agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Probably yes,Neither agree nor disagree,"$50,000 - $59,999"
2021-04-01 00:19:10,Employed full time,Socialist,No college,Non-Hispanic White,United States of America,Transgender Man,1989,Somewhat agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"$20,000 - $29,999"
2021-04-01 00:21:56,Employed full time,Democrat,"Advanced degree (Master's, Doctorate)",Non-Hispanic White,United States of America,Cisgender Woman,1995,Somewhat agree,No,No,,,Neither agree nor disagree,Might or might not,Somewhat agree,
2021-04-01 00:33:35,Employed full time,Prefer not to say,Bachelor's degree,Black or African American,United States of America,Cisgender Woman,1997,Somewhat agree,Yes,No,,,Somewhat agree,Might or might not,Somewhat agree,"$10,000 - $19,999"
2021-04-01 00:55:08,Employed full time,Republican,"Advanced degree (Master's, Doctorate)",Non-Hispanic White,United Kingdom of Great Britain and Northern Ireland,Cisgender Man,1989,Somewhat agree,Yes,Yes,,,Somewhat agree,Definitely yes,Somewhat agree,"$50,000 - $59,999"
2021-04-01 01:29:40,Employed part time,Republican,Some college,Hispanic or Latino,United States of America,Cisgender Man,1996,Somewhat agree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Somewhat agree,Definitely yes,Neither agree nor disagree,"$20,000 - $29,999"
2021-04-01 03:25:50,Employed full time,Democrat,"Advanced degree (Master's, Doctorate)",Non-Hispanic White,United States of America,Cisgender Woman,1997,Strongly agree,No,No,,,Strongly agree,Probably yes,Strongly agree,"$80,000 - $89,999"
2021-04-01 03:36:06,Employed full time,Democrat,"Advanced degree (Master's, Doctorate)",Non-Hispanic White,United States of America,Cisgender Woman,25,Somewhat agree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Somewhat agree,Probably yes,Somewhat agree,"$100,000 - $149,999"
2021-04-01 04:33:55,Student,Prefer not to say,Some college,Non-Hispanic White,Italy,Cisgender Woman,1998,Somewhat agree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Might or might not,Somewhat agree,"Less than $10,000"
2021-04-01 04:45:15,Employed full time,Independent,Some college,Non-Hispanic White,United Kingdom of Great Britain and Northern Ireland,Cisgender Man,1989,Somewhat agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Somewhat agree,Probably yes,Somewhat agree,"$30,000 - $39,999"
2021-04-01 04:49:54,Student,Prefer not to say,Some college,Non-Hispanic White,Italy,Cisgender Man,1999,Somewhat agree,No,Yes,,,Strongly agree,Definitely yes,Somewhat agree,
2021-04-01 05:30:17,Employed part time,Democrat,Some college,Non-Hispanic White,United States of America,Prefer not to disclose,2003,Strongly agree,No,Yes,,,Neither agree nor disagree,Probably yes,Neither agree nor disagree,
2021-04-01 05:56:26,Student,Other,Some college,Asian,United Kingdom of Great Britain and Northern Ireland,Cisgender Man,2002,Neither agree nor disagree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,
2021-04-01 05:57:51,Student,Independent,"Advanced degree (Master's, Doctorate)",Black or African American,United Kingdom of Great Britain and Northern Ireland,Cisgender Man,1989,Neither agree nor disagree,Yes,Yes,,,Somewhat agree,Might or might not,Neither agree nor disagree,
2021-04-01 06:40:59,Employed part time,Democrat,Some college,Non-Hispanic White,United States of America,Cisgender Man,1999,Somewhat agree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Somewhat disagree,Probably yes,Neither agree nor disagree,"$10,000 - $19,999"
2021-04-01 07:37:28,Employed part time,Independent,Bachelor's degree,Hispanic or Latino,France,Cisgender Man,1988,Strongly agree,No,Yes,,,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-01 07:42:19,Employed full time,Democrat,"Advanced degree (Master's, Doctorate)",Black or African American,United States of America,Cisgender Man,1998,Strongly agree,No,Yes,,,Neither agree nor disagree,Definitely yes,Somewhat agree,"$40,000 - $49,999"
2021-04-01 08:04:19,Employed part time,Democrat,"Advanced degree (Master's, Doctorate)",Black or African American,United States of America,Cisgender Man,1994,Strongly agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Probably not,Strongly agree,"$30,000 - $39,999"
2021-04-01 08:11:03,Employed full time,Democrat,"Advanced degree (Master's, Doctorate)",Non-Hispanic White,United States of America,Cisgender Woman,1995,Somewhat agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Somewhat agree,Probably yes,Somewhat agree,"$90,000 - $99,999"
2021-04-01 08:11:54,Employed part time,Republican,No college,Non-Hispanic White,United States of America,Prefer not to disclose,1993,Strongly agree,Yes,Yes,,,Neither agree nor disagree,Might or might not,Strongly disagree,"$30,000 - $39,999"
2021-04-01 08:19:16,Student,Democrat,Some college,Non-Hispanic White,United States of America,Non-binary,2001,Somewhat agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-01 08:33:08,Employed full time,Republican,Bachelor's degree,Non-Hispanic White,United States of America,Cisgender Man,US,Neither agree nor disagree,No,No,,,Somewhat agree,Probably yes,Neither agree nor disagree,"$20,000 - $29,999"
2021-04-01 09:00:49,Employed part time,Republican,Bachelor's degree,Native American,United States of America,Cisgender Man,1991,Somewhat agree,No,Yes,,,Somewhat agree,Might or might not,Somewhat agree,"$30,000 - $39,999"
2021-04-01 11:37:58,Employed full time,Democrat,Bachelor's degree,Native American,United States of America,Cisgender Man,1985,Somewhat agree,No,No,Someone followed her for three blocks,Nurse,Somewhat agree,Probably yes,Neither agree nor disagree,"$70,000 - $79,999"
2021-04-01 15:46:44,Employed full time,Prefer not to say,Bachelor's degree,Asian,,Prefer not to disclose,,Neither agree nor disagree,No,No,Someone followed her for three blocks,Chef,Neither agree nor disagree,Might or might not,Neither agree nor disagree,
2021-04-01 15:57:34,Employed full time,Democrat,Bachelor's degree,Native American,United States of America,Cisgender Man,1990,Somewhat agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Somewhat disagree,"$70,000 - $79,999"
2021-04-06 11:18:09,Student,Prefer not to say,Some college,Prefer not to answer,,Prefer not to disclose,,Neither agree nor disagree,No,No,,,Neither agree nor disagree,Might or might not,Neither agree nor disagree,
2021-04-06 17:11:42,Student,Democrat,No college,Non-Hispanic White,Afghanistan,Cisgender Man,1999,Strongly agree,No,No,Someone called her a racial slur,Chef,Strongly agree,Might or might not,Strongly agree,
2021-04-06 17:23:01,,,,,,,,,,,,,,,,
2021-04-06 17:32:38,,,,,,,,,,,,,,,,
2021-04-06 17:33:19,,,,,,,,,,,,,,,,
2021-04-06 17:34:27,,,,,,,,,,,,,,,,
2021-04-06 19:01:51,Student,Democrat,No college,Other:,United States of America,Cisgender Woman,2000,Strongly disagree,No,No,,,Somewhat agree,Definitely yes,Somewhat agree,
2021-04-06 19:08:38,Employed full time,Democrat,Bachelor's degree,Asian,United States of America,Cisgender Man,1994,,,,,,,,,"$80,000 - $89,999"
2021-04-06 19:25:05,Student,Democrat,Some college,Non-Hispanic White,United States of America,Cisgender Woman,2000,Somewhat agree,No,Yes,,,Strongly agree,Probably yes,Somewhat agree,
2021-04-06 21:21:29,Student,Democrat,Some college,Non-Hispanic White,United States of America,Cisgender Woman,2001,Somewhat agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,
2021-04-06 21:44:46,Employed part time,Democrat,Some college,Non-Hispanic White,United States of America,Cisgender Woman,2000,Strongly agree,No,No,,,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-06 22:28:43,Student,Prefer not to say,No college,Asian,United States of America,Cisgender Woman,1999,Strongly agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Somewhat agree,"$20,000 - $29,999"
2021-04-06 22:41:43,Unemployed looking for work,Democrat,Some college,Hispanic or Latino,United States of America,Cisgender Woman,1999,Strongly agree,No,Yes,,,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-06 22:49:14,Student,Democrat,No college,Asian,United States of America,Cisgender Woman,1999,Neither agree nor disagree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Somewhat agree,"Less than $10,000"
2021-04-06 23:25:08,Unemployed looking for work,Other,Bachelor's degree,Asian,United States of America,Cisgender Woman,2000,Strongly agree,Yes,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-06 23:26:02,Student,Democrat,Bachelor's degree,Asian,United States of America,Cisgender Man,1998,Somewhat agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-06 23:32:46,Student,Other,Some college,Hispanic or Latino,Mexico,Non-binary,2002,Somewhat agree,No,Yes,,,Somewhat agree,Definitely yes,Somewhat agree,
2021-04-07 00:26:54,Student,Independent,No college,Asian,United States of America,Non-binary,1998,Strongly disagree,No,Yes,,,Strongly agree,Definitely yes,Strongly agree,
2021-04-07 02:00:44,Unemployed looking for work,Independent,Some college,Asian,United States of America,Cisgender Woman,2000,Strongly agree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Somewhat disagree,Probably not,Neither agree nor disagree,"$10,000 - $19,999"
2021-04-07 03:38:50,Student,Independent,No college,Asian,United States of America,Cisgender Man,2002,Somewhat agree,No,No,,,Strongly agree,Definitely yes,Neither agree nor disagree,
2021-04-07 07:46:10,Student,Prefer not to say,Some college,Asian,Hong Kong (S.A.R.),Cisgender Man,1997,Strongly agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,
2021-04-07 09:14:01,Student,Prefer not to say,Some college,Prefer not to answer,,Prefer not to disclose,test,Neither agree nor disagree,Yes,No,,,Neither agree nor disagree,Might or might not,Neither agree nor disagree,
2021-04-07 09:43:57,,,,,,,,,,,,,,,,
2021-04-07 10:03:25,,,,,,,,,,,,,,,,
2021-04-07 10:39:52,Student,Prefer not to say,No college,Prefer not to answer,,Prefer not to disclose,test,Neither agree nor disagree,No,No,,,Somewhat disagree,Might or might not,Neither agree nor disagree,
2021-04-07 11:17:21,,,,,,,,,,,,,,,,
2021-04-07 12:13:16,Student,Independent,Some college,Asian,United States of America,Cisgender Man,2002,Somewhat agree,No,Yes,,,Somewhat agree,Definitely yes,Somewhat agree,
2021-04-07 12:25:39,Student,Prefer not to say,Some college,Prefer not to answer,,Prefer not to disclose,test,Neither agree nor disagree,No,No,,,Neither agree nor disagree,Might or might not,Neither agree nor disagree,"$10,000 - $19,999"
2021-04-07 13:17:10,Employed part time,Democrat,Some college,Asian,United States of America,Cisgender Man,1999,Neither agree nor disagree,No,No,,,Somewhat agree,Definitely yes,Somewhat disagree,
2021-04-07 15:41:03,Employed full time,Socialist,Some college,Non-Hispanic White,United States of America,Transgender Man,2001,Strongly agree,No,No,,,Somewhat agree,Definitely yes,Somewhat agree,"Less than $10,000"
2021-04-07 16:03:46,Student,Democrat,No college,Asian,United States of America,Non-binary,2000,Strongly agree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-07 16:14:08,Student,Democrat,Some college,Non-Hispanic White,United States of America,Cisgender Woman,2001,Somewhat agree,No,No,,,Strongly agree,Definitely yes,Strongly agree,
2021-04-07 18:20:03,Student,Democrat,Some college,Non-Hispanic White,United States of America,Cisgender Woman,1999,Somewhat disagree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-07 19:02:52,Student,Democrat,Some college,Asian,United States of America,Cisgender Woman,2000,Strongly agree,No,Yes,,,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-07 19:05:15,Student,Democrat,Some college,Other:,United States of America,Cisgender Woman,1999,Somewhat agree,No,Yes,,,Strongly agree,Definitely yes,Strongly agree,
2021-04-07 19:06:42,Employed part time,Prefer not to say,Some college,Prefer not to answer,United States of America,Cisgender Woman,2000,Neither agree nor disagree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-07 19:13:06,Student,Prefer not to say,Some college,Asian,United States of America,Cisgender Woman,2001,Somewhat agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,
2021-04-07 19:14:13,Unemployed looking for work,Democrat,Bachelor's degree,Asian,United States of America,Cisgender Woman,1998,Neither agree nor disagree,No,No,,,Somewhat agree,Definitely yes,Strongly agree,
2021-04-07 19:15:45,Student,Independent,Bachelor's degree,Asian,United States of America,Other,1997,Strongly disagree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,
2021-04-07 19:19:28,Student,Socialist,Some college,Non-Hispanic White,United States of America,Cisgender Woman,2002,Somewhat agree,No,No,,,Strongly agree,Probably yes,Strongly agree,
2021-04-07 19:20:39,Student,Prefer not to say,Some college,Asian,India,Cisgender Man,2001,Neither agree nor disagree,No,No,Someone called her a racial slur,Cashier,Strongly agree,Probably yes,Strongly agree,
2021-04-07 19:23:33,Student,Republican,Some college,Asian,United States of America,Cisgender Woman,1998,Strongly agree,Yes,Yes,Someone body-slammed her and kicked her dog,Nurse,Somewhat agree,Probably yes,Strongly agree,"Less than $10,000"
